participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
ALS,1,7281,8.815507650375366,0.0101883687285437,balanced_clinical,False
ALS,2,7387,11.814892768859837,0.0092751491840556,balanced_clinical,False
ALS,3,7445,13.47370719909668,0.0074043092692611,balanced_clinical,False
ALS,4,7513,15.36329746246335,0.0078609016162339,balanced_clinical,False
ALS,5,7601,17.94924807548523,0.0085293711090303,balanced_clinical,False
ALS,6,7702,20.826076269149752,0.0085632596570827,balanced_clinical,False
ALS,7,7775,22.856396436691284,0.0080236853068778,balanced_clinical,False
ALS,8,7858,25.159291982650757,0.0081885385908209,balanced_clinical,False
ALS,9,7946,27.684345245361328,0.0081008224112861,balanced_clinical,False
ALS,10,8033,30.16298818588257,0.0085299722520879,balanced_clinical,False
ALS,11,8135,32.92421770095825,0.0089434259064032,balanced_clinical,False
ALS,12,8296,37.46487331390381,0.0093235985208328,balanced_clinical,False
ALS,13,8401,40.4234607219696,0.0086831253002551,balanced_clinical,False
ALS,14,8565,45.069586277008085,0.0088265402953858,balanced_clinical,False
ALS,15,8697,48.74109387397769,0.0091126155161552,balanced_clinical,False
ALS,16,8811,51.97665596008301,0.0087679598028076,balanced_clinical,False
ALS,17,8892,54.29818987846377,0.0070437109476457,balanced_clinical,False
