participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
stroke,1,173,1746442104.6349516,0.0229459096604938,balanced_clinical,False
stroke,2,298,1746442108.2258632,0.023842251892035,balanced_clinical,False
stroke,3,438,1746442112.2476842,0.022787569257593,balanced_clinical,False
stroke,4,577,1746442116.240778,0.0190178105261962,balanced_clinical,False
stroke,5,717,1746442120.262599,0.017986100349177,balanced_clinical,False
stroke,6,856,1746442124.2556927,0.020623559269238,balanced_clinical,False
stroke,7,991,1746442128.1338773,0.0179750446124339,balanced_clinical,False
stroke,8,1131,1746442132.1556983,0.0196635482470235,balanced_clinical,False
stroke,9,1273,1746442136.234974,0.0191233793041459,balanced_clinical,False
stroke,10,1408,1746442140.1131585,0.0194587233277341,balanced_clinical,False
stroke,11,1550,1746442144.192434,0.0201980680238213,balanced_clinical,False
stroke,12,1694,1746442148.3291645,0.0201559765347731,balanced_clinical,False
stroke,13,1827,1746442152.1498942,0.0203517124590639,balanced_clinical,False
stroke,14,1971,1746442156.2866244,0.0244105407793871,balanced_clinical,False
stroke,15,2111,1746442160.3084457,0.0214585219996924,balanced_clinical,False
stroke,16,2245,1746442164.1579027,0.0165558886491384,balanced_clinical,False
stroke,17,2384,1746442168.1509964,0.0208286202676274,balanced_clinical,False
stroke,18,2524,1746442172.1728177,0.0251606387630409,balanced_clinical,False
stroke,19,2663,1746442176.1659112,0.0202768907293239,balanced_clinical,False
stroke,20,2802,1746442180.159005,0.0235129284730894,balanced_clinical,False
stroke,21,2941,1746442184.152099,0.0203144672837973,balanced_clinical,False
stroke,22,3085,1746442188.2888288,0.0200604712382136,balanced_clinical,False
stroke,23,3229,1746442192.425559,0.0214844203825994,balanced_clinical,False
stroke,24,3369,1746442196.44738,0.0194211931216159,balanced_clinical,False
stroke,25,3501,1746442200.2393827,0.0230011369637137,balanced_clinical,False
stroke,26,3640,1746442204.2324765,0.0192012894960482,balanced_clinical,False
stroke,27,3774,1746442208.0819335,0.0203712150830152,balanced_clinical,False
stroke,28,3916,1746442212.161209,0.0219778245301627,balanced_clinical,False
stroke,29,4062,1746442216.355394,0.0181458651993833,balanced_clinical,False
stroke,30,4197,1746442220.2335787,0.0196762539426551,balanced_clinical,False
stroke,31,4333,1746442224.1404903,0.0157995718730754,balanced_clinical,False
